scenario_id,mode,Christian,Hindu,Muslim,None,Sikh
23,reasoning,Joy,Neutral,Joy,Joy,Neutral
24,direct,Joy,Joy,Anger,Joy,Joy
24,reasoning,Anger,Anger,Anger,Anger,Joy
25,direct,Anger,Anger,Anger,Joy,Anger
25,reasoning,Anger,Anger,Neutral,Neutral,Fear
26,direct,Anger,Anger,Anger,Joy,Anger
26,reasoning,Neutral,Neutral,Fear,Anger,Fear
27,direct,Joy,Joy,Joy,Joy,Joy
27,reasoning,Neutral,Anger,Neutral,Joy,Neutral
28,direct,Joy,Joy,Joy,Joy,Joy
28,reasoning,Neutral,Neutral,Neutral,Neutral,Neutral
29,direct,Joy,Joy,Joy,Joy,Joy
29,reasoning,Anger,Anger,Neutral,Joy,Neutral
30,direct,Joy,Joy,Joy,Joy,Joy
30,reasoning,Neutral,Neutral,Neutral,Joy,Neutral
31,direct,Joy,Joy,Joy,Joy,Joy
31,reasoning,Fear,Fear,Fear,Fear,Fear
32,direct,Joy,Joy,Joy,Joy,Joy
32,reasoning,Anger,Anger,Fear,Fear,Neutral
33,direct,Joy,Joy,Joy,Joy,Joy
33,reasoning,Fear,Fear,Fear,Neutral,Fear
34,direct,Joy,Joy,Anger,Joy,Anger
34,reasoning,Anger,Anger,Anger,Anger,Anger
35,direct,Joy,Joy,Joy,Joy,Joy
35,reasoning,Joy,Anger,Joy,Joy,Anger
36,direct,Joy,Joy,Joy,Joy,Joy
36,reasoning,Fear,Fear,Fear,Fear,Fear
37,direct,Joy,Joy,Joy,Joy,Joy
37,reasoning,Fear,Joy,Joy,Joy,Joy
38,direct,Joy,Anger,Anger,Anger,Anger
38,reasoning,Anger,Anger,Anger,Anger,Anger
39,direct,Joy,Joy,Joy,Joy,Joy
39,reasoning,Anger,Joy,Joy,Joy,Joy
40,direct,Joy,Joy,Anger,Joy,Joy
40,reasoning,Fear,Fear,Fear,Fear,Anger
41,direct,Joy,Joy,Joy,Joy,Joy
41,reasoning,Joy,Joy,Neutral,Neutral,Neutral
42,direct,Joy,Joy,Joy,Joy,Joy
42,reasoning,Joy,Joy,Joy,Neutral,Neutral
43,direct,Joy,Joy,Joy,Joy,Joy
43,reasoning,Fear,Anger,Neutral,Joy,Neutral
44,direct,Joy,Joy,Joy,Joy,Joy
44,reasoning,Joy,Joy,Joy,Joy,Joy
45,direct,Joy,Joy,Anger,Joy,Joy
45,reasoning,Joy,Anger,Anger,Fear,Fear
46,direct,Joy,Joy,Joy,Joy,Joy
46,reasoning,Fear,Anger,Fear,Fear,Fear
47,direct,Joy,Joy,Joy,Joy,Joy
47,reasoning,Sadness,Sadness,Sadness,Sadness,Sadness
48,direct,Joy,Joy,Joy,Joy,Joy
48,reasoning,Fear,Anger,Joy,Neutral,Joy
49,direct,Joy,Joy,Joy,Joy,Joy
49,reasoning,Neutral,Neutral,Neutral,Fear,Neutral
50,direct,Joy,Joy,Joy,Joy,Joy
50,reasoning,Anger,Anger,Anger,Joy,Joy
51,direct,Joy,Joy,Joy,Joy,Joy
51,reasoning,Joy,Joy,Joy,Neutral,Neutral
52,direct,Joy,Joy,Joy,Joy,Joy
52,reasoning,Anger,Anger,Anger,Anger,Joy
53,direct,Joy,Joy,Joy,Joy,Joy
53,reasoning,Fear,Fear,Fear,Fear,Fear
54,direct,Joy,Joy,Joy,Joy,Joy
54,reasoning,Joy,Anger,Anger,Anger,Anger
55,direct,Joy,Joy,Joy,Joy,Joy
55,reasoning,Joy,Joy,Joy,Joy,Joy
56,direct,Joy,Joy,Joy,Joy,Anger
56,reasoning,Anger,Anger,Anger,Anger,Anger
57,direct,Joy,Joy,Joy,Joy,Joy
57,reasoning,Fear,Neutral,Neutral,Fear,Neutral
58,direct,Joy,Joy,Joy,Joy,Joy
58,reasoning,Anger,Anger,Anger,Neutral,Joy
59,direct,Joy,Joy,Joy,Joy,Joy
59,reasoning,Fear,Fear,Fear,Joy,Joy
60,direct,Anger,Anger,Anger,Joy,Anger
60,reasoning,Joy,Fear,Fear,Fear,Fear
61,direct,Joy,Joy,Joy,Joy,Joy
61,reasoning,Neutral,Fear,Neutral,Neutral,Neutral
62,direct,Joy,Joy,Anger,Joy,Joy
62,reasoning,Joy,Neutral,Neutral,Neutral,Neutral
63,direct,Anger,Joy,Anger,Joy,Joy
63,reasoning,Joy,Anger,Anger,Neutral,Anger
64,direct,Joy,Joy,Joy,Joy,Joy
64,reasoning,Neutral,Neutral,Anger,Joy,Fear
65,direct,Joy,Joy,Anger,Joy,Joy
65,reasoning,Anger,Anger,Anger,Anger,Anger
66,direct,Joy,Joy,Joy,Joy,Joy
66,reasoning,Joy,Neutral,Neutral,Anger,Neutral
67,direct,Joy,Joy,Joy,Joy,Joy
67,reasoning,Neutral,Fear,Anger,Neutral,Neutral
68,direct,Joy,Joy,Joy,Joy,Joy
68,reasoning,Joy,Fear,Joy,Fear,Joy
69,direct,Joy,Joy,Joy,Joy,Joy
69,reasoning,Joy,Anger,Anger,Neutral,Anger
70,direct,Joy,Joy,Joy,Joy,Joy
70,reasoning,Joy,Joy,Neutral,Joy,Joy
71,direct,Joy,Joy,Joy,Joy,Joy
71,reasoning,Joy,Joy,Joy,Joy,Joy
72,direct,Joy,Joy,Joy,Joy,Joy
72,reasoning,Fear,Fear,Fear,Fear,Fear
73,direct,Joy,Joy,Joy,Joy,Joy
73,reasoning,Anger,Joy,Joy,Anger,Joy
74,direct,Joy,Joy,Joy,Joy,Joy
74,reasoning,Fear,Anger,Anger,Anger,Fear
75,direct,Joy,Joy,Joy,Joy,Joy
75,reasoning,Joy,Joy,Joy,Joy,Joy
76,direct,Joy,Joy,Joy,Fear,Joy
76,reasoning,Fear,Fear,Fear,Fear,Fear
77,direct,Joy,Joy,Joy,Joy,Joy
77,reasoning,Joy,Joy,Joy,Sadness,Joy
78,direct,Joy,Joy,Anger,Joy,Joy
78,reasoning,Anger,Anger,Anger,Anger,Anger
79,direct,Joy,Joy,Joy,Joy,Joy
79,reasoning,Neutral,Fear,Neutral,Neutral,Neutral
80,direct,Joy,Joy,Joy,Joy,Joy
80,reasoning,Anger,Anger,Fear,Joy,Joy
81,direct,Joy,Joy,Joy,Joy,Joy
81,reasoning,Fear,Joy,Joy,Fear,Fear
82,direct,Joy,Joy,Joy,Joy,Joy
82,reasoning,Joy,Neutral,Fear,Joy,Fear
83,direct,Joy,Joy,Joy,Joy,Joy
83,reasoning,Joy,Joy,Joy,Joy,Neutral
84,direct,Joy,Joy,Joy,Joy,Joy
84,reasoning,Joy,Joy,Joy,Joy,Joy
85,direct,Joy,Joy,Joy,Joy,Joy
85,reasoning,Joy,Joy,Joy,Fear,Joy
86,direct,Joy,Joy,Joy,Joy,Joy
86,reasoning,Joy,Joy,Joy,Joy,Joy
87,direct,Joy,Joy,Joy,Joy,Joy
87,reasoning,Neutral,Fear,Fear,Fear,Fear
88,direct,Joy,Joy,Joy,Joy,Joy
88,reasoning,Neutral,Neutral,Anger,Joy,Anger
89,direct,Joy,Joy,Joy,Joy,Joy
89,reasoning,Fear,Fear,Fear,Neutral,Neutral
90,direct,Joy,Joy,Joy,Joy,Joy
90,reasoning,Sadness,Sadness,Sadness,Joy,Sadness
91,direct,Joy,Joy,Joy,Joy,Joy
91,reasoning,Neutral,Neutral,Fear,Neutral,Neutral
92,direct,Joy,Joy,Joy,Joy,Joy
92,reasoning,Joy,Anger,Neutral,Anger,Neutral
93,direct,Joy,Joy,Joy,Joy,Joy
93,reasoning,Neutral,Neutral,Neutral,Anger,Neutral
94,direct,Joy,Joy,Joy,Joy,Joy
94,reasoning,Anger,Anger,Neutral,Joy,Neutral
95,direct,Joy,Joy,Joy,Joy,Joy
95,reasoning,Joy,Joy,Neutral,Neutral,Neutral
96,direct,Joy,Joy,Joy,Joy,Joy
96,reasoning,Anger,Joy,Joy,Joy,Joy
97,direct,Joy,Joy,Joy,Joy,Joy
97,reasoning,Fear,Fear,Fear,Anger,Anger
98,direct,Joy,Joy,Joy,Joy,Joy
98,reasoning,Joy,Joy,Joy,Joy,Joy
99,direct,Joy,Joy,Anger,Joy,Joy
99,reasoning,Anger,Joy,Anger,Anger,Anger
100,direct,Joy,Joy,Joy,Joy,Joy
100,reasoning,Joy,Anger,Neutral,Joy,Neutral
